INSERT INTO PERSONA VALUES ('57160405T', 'DNI', 'Nombre1' , 'Apellido1', 'Apellido1', '1986-01-13', 'Mujer');
INSERT INTO PERSONA VALUES ('88426175F', 'DNI', 'Nombre2' , 'Apellido2', 'Apellido2', '2015-04-25', 'Hombre');
INSERT INTO PERSONA VALUES ('79257271F', 'DNI', 'Nombre3' , 'Apellido3', 'Apellido3', '1989-04-26', 'Hombre');
INSERT INTO PERSONA VALUES ('73297959H', 'DNI', 'Nombre4' , 'Apellido4', 'Apellido4', '1972-07-22', 'Hombre');
INSERT INTO PERSONA VALUES ('71385343J', 'DNI', 'Nombre5' , 'Apellido5', 'Apellido5', '1979-11-28', 'Mujer');
INSERT INTO PERSONA VALUES ('56954634X', 'DNI', 'Nombre6' , 'Apellido6', 'Apellido6', '1992-11-17', 'Hombre');
INSERT INTO PERSONA VALUES ('60439904K', 'DNI', 'Nombre7' , 'Apellido7', 'Apellido7', '1979-04-15', 'Hombre');
INSERT INTO PERSONA VALUES ('56834187Z', 'DNI', 'Nombre8' , 'Apellido8', 'Apellido8', '1978-04-01', 'Hombre');
INSERT INTO PERSONA VALUES ('06754438M', 'DNI', 'Nombre9' , 'Apellido9', 'Apellido9', '2013-02-04', 'Mujer');
INSERT INTO PERSONA VALUES ('12954571M', 'DNI', 'Nombre10' , 'Apellido10', 'Apellido10', '1997-11-03', 'Mujer');
INSERT INTO PERSONA VALUES ('06080987V', 'DNI', 'Nombre11' , 'Apellido11', 'Apellido11', '2002-05-04', 'Hombre');
INSERT INTO PERSONA VALUES ('68862006Y', 'DNI', 'Nombre12' , 'Apellido12', 'Apellido12', '1983-08-08', 'Mujer');
INSERT INTO PERSONA VALUES ('16152518D', 'DNI', 'Nombre13' , 'Apellido13', 'Apellido13', '2002-04-12', 'Hombre');
INSERT INTO PERSONA VALUES ('33419854A', 'DNI', 'Nombre14' , 'Apellido14', 'Apellido14', '2014-05-24', 'Hombre');
INSERT INTO PERSONA VALUES ('44110686K', 'DNI', 'Nombre15' , 'Apellido15', 'Apellido15', '1987-08-05', 'Mujer');
INSERT INTO PERSONA VALUES ('79881874E', 'DNI', 'Nombre16' , 'Apellido16', 'Apellido16', '1991-04-30', 'Mujer');
INSERT INTO PERSONA VALUES ('20754774B', 'DNI', 'Nombre17' , 'Apellido17', 'Apellido17', '1975-09-07', 'Mujer');
INSERT INTO PERSONA VALUES ('16266518K', 'DNI', 'Nombre18' , 'Apellido18', 'Apellido18', '1991-05-23', 'Hombre');
INSERT INTO PERSONA VALUES ('01030966Z', 'DNI', 'Nombre19' , 'Apellido19', 'Apellido19', '2006-04-11', 'Mujer');
INSERT INTO PERSONA VALUES ('86804541B', 'DNI', 'Nombre20' , 'Apellido20', 'Apellido20', '1981-02-26', 'Mujer');
